orfname, Ka, Ks, Ka/Ks 
YAL005C,0.009,0.269,0.032
YAL007C,0.042,0.383,0.111
YAL008W,0.112,0.552,0.202
YAL009W,0.035,0.364,0.096
YAL010C,0.075,0.488,0.153
YAL012W,0.014,0.307,0.046
YAL015C,,,
YAL016W,0.017,0.411,0.041
YAL017W,0.054,0.543,0.099
YAL018C,,,
YAL020C,0.152,0.637,0.239
YAL021C,0.031,0.508,0.061
YAL022C,0.053,0.545,0.097
YAL023C,0.028,0.463,0.06
YAL024C,0.077,0.54,0.142
YAL025C,0.028,0.421,0.066
YAL028W,,,
YAL031C,0.079,0.545,0.145
YAL033W,0.107,0.445,0.24
YAL035W,0.04,0.453,0.087
YAL036C,0.013,0.541,0.024
YAL037W,,,
YAL038W,0.006,0.063,0.089
YAL039C,0.055,0.501,0.11
YAL040C,0.059,0.451,0.131
YAL041W,0.035,0.546,0.063
YAL042W,0.058,0.502,0.115
YAL043C,0.06,0.578,0.103
YAL046C,,,
YAL047C,0.119,0.485,0.245
YAL048C,0.033,0.508,0.065
YAL049C,0.086,0.636,0.135
YAL053W,0.035,0.611,0.058
YAL054C,0.017,0.565,0.03
YAL055W,0.252,0.512,0.493
YAL058W,0.16,0.58,0.276
YAL060W,0.041,0.558,0.074
YAL061W,0.036,0.638,0.057
YAL062W,0.029,0.568,0.051
YAL067C,0.051,0.573,0.089
YAR002W,0.163,0.601,0.272
YAR003W,,,
YAR007C,0.021,0.47,0.046
YAR008W,0.073,0.51,0.143
YAR015W,0.026,0.514,0.051
YAR018C,0.025,0.492,0.051
YAR019C,0.077,0.539,0.143
YAR023C,,,
YAR035W,0.029,0.475,0.06
YAR068W,,,
YAR071W,,,
YBL003C,,,
YBL005W,0.101,0.573,0.177
YBL007C,0.061,0.51,0.12
YBL008W,,,
YBL009W,0.126,0.541,0.232
YBL010C,0.097,0.501,0.193
YBL011W,,,
YBL014C,,,
YBL015W,0.006,0.439,0.013
YBL016W,0.019,0.588,0.032
YBL017C,0.122,0.565,0.217
YBL019W,0.114,0.542,0.209
YBL020W,0.035,0.507,0.069
YBL021C,0.035,0.584,0.059
YBL022C,,,
YBL023C,0.015,0.485,0.03
YBL024W,0.027,0.442,0.061
YBL025W,0.046,0.763,0.06
YBL028C,0.078,0.328,0.238
YBL029W,0.069,0.48,0.144
YBL030C,0.016,0.227,0.07
YBL031W,0.083,0.551,0.151
YBL032W,,,
YBL033C,0.058,0.489,0.119
YBL034C,0.099,0.571,0.173
YBL035C,,,
YBL036C,0.095,0.649,0.146
YBL037W,0.048,0.621,0.078
YBL038W,0.053,0.478,0.111
YBL039C,0.017,0.435,0.039
YBL041W,0.011,0.427,0.026
YBL042C,0.07,0.637,0.11
YBL043W,0.179,0.593,0.301
YBL045C,0.033,0.434,0.076
YBL046W,,,
YBL047C,,,
YBL049W,,,
YBL051C,0.063,0.466,0.135
YBL052C,0.192,0.553,0.348
YBL054W,0.104,0.607,0.172
YBL055C,,,
YBL056W,0.032,0.531,0.061
YBL058W,0.088,0.606,0.145
YBL060W,0.137,0.646,0.212
YBL061C,0.093,0.554,0.167
YBL063W,0.113,0.56,0.202
YBL064C,0.017,0.753,0.023
YBL072C,0.003,0.047,0.058
YBL075C,0.019,0.639,0.03
YBL076C,0.02,0.473,0.042
YBL078C,0.016,0.323,0.049
YBL079W,0.059,0.533,0.111
YBL080C,0.079,0.544,0.144
YBL081W,,,
YBL084C,0.049,0.48,0.102
YBL085W,0.11,0.576,0.19
YBL090W,0.087,0.452,0.194
YBL091C,0.042,0.448,0.094
YBL092W,,,
YBL093C,0.024,0.348,0.068
YBL095W,0.104,0.603,0.172
YBL097W,0.108,0.594,0.181
YBL098W,,,
YBL099W,0.008,0.28,0.027
YBL101C,0.082,0.533,0.154
YBL102W,0.02,0.417,0.048
YBL103C,0.067,0.458,0.146
YBL105C,0.049,0.507,0.096
YBL106C,0.089,0.512,0.175
YBL107C,0.14,0.383,0.366
YBR001C,0.032,0.412,0.077
YBR002C,0.025,0.403,0.062
YBR003W,0.033,0.409,0.079
YBR004C,0.078,0.516,0.152
YBR005W,,,
YBR006W,0.022,0.55,0.04
YBR007C,0.106,0.522,0.203
YBR008C,,,
YBR009C,,0.251,
YBR010W,,0.191,
YBR011C,0.015,0.32,0.048
YBR014C,,,
YBR015C,0.095,0.57,0.167
YBR016W,0.031,0.754,0.041
YBR017C,0.03,0.507,0.06
YBR018C,0.094,0.558,0.169
YBR019C,0.064,0.526,0.122
YBR020W,0.056,0.628,0.089
YBR021W,0.03,0.553,0.054
YBR022W,0.152,0.662,0.229
YBR023C,,,
YBR024W,,,
YBR025C,0.024,0.301,0.079
YBR026C,0.044,0.525,0.083
YBR028C,,,
YBR029C,0.019,0.474,0.04
YBR030W,0.146,0.632,0.232
YBR031W,0.008,0.097,0.085
YBR033W,0.234,0.62,0.379
YBR034C,0.011,0.455,0.024
YBR035C,0.026,0.427,0.061
YBR036C,0.043,0.51,0.085
YBR037C,0.044,0.542,0.082
YBR038W,0.015,0.566,0.027
YBR039W,0.016,0.408,0.039
YBR040W,0.068,0.66,0.103
YBR043C,0.07,0.504,0.139
YBR047W,0.089,0.514,0.173
YBR049C,,,
YBR050C,,,
YBR052C,0.08,0.636,0.125
YBR053C,,,
YBR054W,0.016,0.455,0.035
YBR055C,,,
YBR056W,0.07,0.59,0.119
YBR057C,0.063,0.428,0.147
YBR059C,0.072,0.477,0.151
YBR060C,,,
YBR061C,0.042,0.514,0.082
YBR063C,0.468,0.589,0.795
YBR065C,0.137,0.62,0.222
YBR066C,0.109,0.604,0.18
YBR067C,0.114,0.574,0.198
YBR068C,0.063,0.561,0.112
YBR069C,0.072,0.62,0.116
YBR070C,0.112,0.546,0.204
YBR071W,0.106,0.898,0.118
YBR072W,0.036,0.556,0.065
YBR077C,0.07,0.737,0.095
YBR079C,,,
YBR080C,,,
YBR083W,0.086,0.436,0.198
YBR084W,,,
YBR085W,,,
YBR086C,0.111,0.586,0.19
YBR087W,,,
YBR088C,0.008,0.462,0.018
YBR091C,0.048,0.819,0.059
YBR092C,0.052,0.578,0.09
YBR093C,0.066,0.548,0.121
YBR094W,,,
YBR096W,,,
YBR097W,,,
YBR099C,,,
YBR100W,,,
YBR101C,,,
YBR102C,,,
YBR103W,,,
YBR104W,,,
YBR105C,,,
YBR106W,,,
YBR107C,,,
YBR109C,,,
YBR110W,0.051,0.509,0.1
YBR111C,,,
YBR112C,,,
YBR114W,0.045,0.479,0.094
YBR115C,0.039,0.476,0.082
YBR117C,0.018,0.547,0.033
YBR120C,0.09,0.408,0.22
YBR121C,0.02,0.342,0.057
YBR123C,,,
YBR125C,0.028,0.52,0.053
YBR126C,0.006,0.486,0.013
YBR127C,0.005,0.25,0.022
YBR128C,,,
YBR130C,,,
YBR131W,0.145,0.562,0.258
YBR132C,0.036,0.494,0.073
YBR133C,0.062,0.543,0.115
YBR135W,0.009,0.481,0.018
YBR137W,0.07,0.709,0.098
YBR138C,0.098,0.475,0.207
YBR141C,,,
YBR142W,0.063,0.567,0.111
YBR143C,,,
YBR145W,0.041,0.5,0.081
YBR146W,0.047,0.432,0.11
YBR147W,0.08,0.434,0.185
YBR148W,,,
YBR149W,,,
YBR151W,0.074,0.634,0.117
YBR152W,0.316,0.715,0.442
YBR153W,0.108,0.524,0.206
YBR154C,0.01,0.392,0.025
YBR155W,0.05,0.615,0.082
YBR156C,0.129,0.532,0.243
YBR159W,,,
YBR160W,,,
YBR161W,0.047,0.487,0.097
YBR162C,,,
YBR163W,,,
YBR164C,0.004,0.486,0.009
YBR165W,,,
YBR167C,,,
YBR168W,0.139,0.497,0.28
YBR169C,0.053,0.582,0.092
YBR170C,0.055,0.598,0.092
YBR171W,0.021,0.479,0.043
YBR173C,0.035,0.487,0.073
YBR175W,,,
YBR176W,0.067,0.587,0.115
YBR177C,0.056,0.459,0.121
YBR179C,,,
YBR180W,0.096,0.582,0.165
YBR182C,0.254,0.595,0.427
YBR183W,,,
YBR185C,0.061,0.53,0.116
YBR187W,0.16,0.829,0.193
YBR188C,0.423,0.772,0.548
YBR192W,0.016,0.513,0.03
YBR193C,,,
YBR194W,,,
YBR195C,0.053,0.531,0.1
YBR196C,0.003,0.33,0.009
YBR197C,,,
YBR198C,,,
YBR199W,0.117,0.575,0.204
YBR200W,,,
YBR201W,,,
YBR202W,0.032,0.522,0.061
YBR203W,,,
YBR204C,,,
YBR205W,,,
YBR207W,,,
YBR210W,,,
YBR211C,0.112,0.643,0.174
YBR212W,,,
YBR213W,0.09,0.577,0.155
YBR214W,,,
YBR216C,0.127,0.537,0.237
YBR217W,,,
YBR218C,0.013,0.468,0.027
YBR220C,0.045,0.616,0.073
YBR221C,0.019,0.348,0.054
YBR222C,0.021,0.615,0.034
YBR223C,,,
YBR225W,0.082,0.523,0.158
YBR228W,0.109,0.543,0.2
YBR229C,0.108,0.646,0.167
YBR233W,0.083,0.621,0.133
YBR234C,,,
YBR235W,,,
YBR237W,,,
YBR238C,,,
YBR239C,0.036,0.509,0.071
YBR240C,0.063,0.499,0.127
YBR241C,0.058,0.508,0.115
