strain	n	rls	rls.sd	a	a.sd	b	b.sd
101S	56	30.7273597	0.9834996	0.0013702	0.0009724	0.1487979	0.0414805
M1-2	54	27.8696845	1.131092	0.0024437	0.001138	0.128362	0.0153813
M13	70	26.6502041	1.1638897	0.0029551	0.0011329	0.1252717	0.0124148
M14	60	36.5844444	1.5056074	0.0018812	0.0007489	0.0949553	0.0118449
M22	60	31.8027778	1.2653731	0.0023827	0.0008808	0.1075112	0.0101527
M2-8	105	24.7707937	0.7668717	0.0041838	0.000973	0.1193465	0.0105487
M32	60	28.1375	0.7976344	0.0017568	0.0005036	0.1417765	0.0096741
M34	58	26.8427467	1.031828	0.0012919	0.0007184	0.1629953	0.021615
M5	60	38.7288889	1.3622841	0.0019332	0.0006981	0.0877245	0.0094931
M8	60	35.215	0.94663	0.0003775	0.0001812	0.1619232	0.0155648
SGU57	58	23.5713436	1.5490514	0.0080278	0.0022162	0.0901459	0.0097697
RM112N	59	44.5711003	1.5479992	0.0009912	0.000409	0.0928569	0.0107508
YPS128	69	34.9985297	1.2424454	0.0011183	0.0004531	0.1209893	0.0110213
YPS163	100	33.2772	0.8351521	0.0013362	0.0004536	0.1215294	0.0112653
BY4743	90	33.1934568	0.8905694	0.0040304	0.0012531	0.0802222	0.0113155
SK1	41	19.5758477	1.8191581	0.0177454	0.0056088	0.0708759	0.0201075
W303	70	18.6338776	0.5551042	0.0034067	0.0011355	0.1985827	0.0240566
PSY316	40	20.98375	1.1760777	0.0057433	0.0021355	0.1327725	0.0177311
