19	34	17	22	42	3	24	26	19	22	27	19	9	23	33	23	42	19	3	42	3	3	32	23	29	34	29	23	19	42	31	3	19	34	23	37	22	23	4	21	39	46	26	23	22	24	30	24	5	4	4	23	5	21	27	26	32	17	5	9	1	20	23	13	5	9	1	31	20	12	24
37	18	23	21	19	5	30	13	36	26	3	5	3	39	23	5	19	18	14	24	37	36	3	4	23	3	44	23	33	5	3	23	18	12	18	4	9	34	26	20	44	1	13	4	23	23	18	32	12	22	23	23	12	14	24	33	23	22	21	19	23	9	22	34	39	4	23	20	17	37	34
20	9	23	20	1	23	26	32	26	42	12	27	42	14	23	21	23	22	4	26	26	31	29	5	4	9	12	34	22	19	4	33	23	4	19	24	24	24	24	34	31	37	31	22	29	24	10	34	34	23	46	19	12	26	9	31	23	23	39	34	9	9	23	34	33	29	29	10	22	19	23
22	23	12	23	3	23	24	19	20	18	18	4	22	23	46	33	21	32	3	23	17	24	3	21	26	22	23	29	22	3	42	34	23	19	29	5	23	3	19	20	4	36	37	24	9	22	36	3	9	22	19	4	12	5	18	4	23	33	23	23	9	42	18	22	34	14	12	17	33	24	12
23	22	27	3	9	31	23	17	32	44	34	4	9	23	23	18	5	23	4	32	24	29	36	4	42	5	4	34	3	24	32	3	23	23	24	3	23	23	29	23	24	22	14	20	5	24	4	18	3	44	22	24	33	12	5	44	19	22	33	23	42	23	27	30	4	29	12	24	36	21	23
44	19	26	12	23	5	46	5	39	23	33	23	37	23	22	12	26	23	19	4	46	23	44	23	24	46	22	4	34	19	46	20	12	18	23	34	33	13	33	22	23	20	23	33	24	29	4	37	32	26	20	12	23	17	12	27	22	14	22	19	33	24	29	23	33	33	22	20	24	26	17
23	24	4	23	4	22	37	22	29	24	23	23	4	3	34	21	29	1	14	22	20	12	22	42	4	23	23	19	22	33	18	29	32	9	4	23	24	33	34	22	23	31	31	23	4	22	33	23	12	22	23	4	18	9	26	23	26	3	22	23	44	33	29	22	33	12	44	23	29	4	10
29	22	24	23	23	24	24	46	9	44	19	24	23	23	23	23	23	24	4	21	9	22	29	9	39	4	29	22	23	19	5	29	23	4	22	34	34	20	22	3	23	23	29	3	29	30	5	23	23	37	26	34	3	32	21	12	26	4	29	23	9	3	22	33	34	29	33	22	34	24	36
14	26	44	23	29	24	23	23	9	39	44	39	3	12	12	23	22	30	18	14	22	34	46	4	19	23	23	22	10	33	23	24	30	3	19	22	4	17	24	21	30	3	32	22	29	23	5	21	30	23	26	22	12	22	23	22	9	22	23	22	33	23	19	34	23	12	44	9	3	3	34
12	4	23	24	22	12	3	33	4	24	14	4	22	23	19	22	17	23	23	22	4	13	23	4	26	3	22	23	24	3	4	23	22	42	26	4	34	21	23	19	20	3	1	24	36	17	10	12	24	23	19	23	23	23	24	23	29	13	19	23	22	23	3	5	44	19	10	22	22	23	3
