strain	n	rls	rls.sd	a	a.sd	b	b.sd
101S	85	31.3276125	0.79272	0.0012098	0.0006581	0.1421899	0.0245169
M1-2	54	27.8696845	1.131092	0.0024437	0.001138	0.128362	0.0153813
M13	70	26.6502041	1.1638897	0.0029551	0.0011329	0.1252717	0.0124148
M14	60	36.5844444	1.5056074	0.0018812	0.0007489	0.0949553	0.0118449
M22	60	31.8027778	1.2653731	0.0023827	0.0008808	0.1075112	0.0101527
M2-8	105	24.7707937	0.7668717	0.0041838	0.000973	0.1193465	0.0105487
M32	60	28.1375	0.7976344	0.0017568	0.0005036	0.1417765	0.0096741
M34	58	26.8427467	1.031828	0.0012919	0.0007184	0.1629953	0.021615
M5	166	36.7428872	1.0388214	0.004031	0.0008165	0.0681621	0.0065336
M8	60	35.0913889	0.9045475	0.0003775	0.0001812	0.1619232	0.0155648
SGU57	58	23.5713436	1.5490514	0.0080278	0.0022162	0.0901459	0.0097697
RM11	59	44.5711003	1.5479992	0.0009912	0.000409	0.0928569	0.0107508
YPS128	69	34.9985297	1.2424454	0.0011183	0.0004531	0.1209893	0.0110213
YPS163	130	34.3930769	0.784734	0.0008251	0.000322	0.13509	0.0129964
