22	26	19	18	20	18	20	21	28	15	18	18	18	27	21	19	19	17	31	19	8	19	19	19	19	19	20	20	22	20	26	17	16	18	20	21	28	17	24	17	17	19	16	11	19	20	14	8	13	24	20	15	20	16	17	20	17	13	20	18	26	27	21	18	18	18	20	14	19	17
21	18	20	22	28	19	20	15	17	17	23	20	19	14	13	11	18	20	17	19	24	19	17	18	13	18	17	13	27	16	19	15	19	19	27	20	27	21	24	19	21	17	24	19	17	18	17	16	23	19	11	17	20	17	18	16	18	19	16	17	26	21	21	19	18	17	19	17	17	17
20	19	21	19	13	21	21	20	19	20	18	21	24	20	20	18	27	20	28	17	18	22	28	4	15	17	17	20	18	28	19	14	4	20	20	16	27	15	18	15	20	14	18	15	31	24	19	16	20	12	15	23	18	23	13	19	24	16	19	22	22	15	15	16	20	22	20	13	20	27
15	19	16	18	18	19	15	19	20	19	23	13	19	17	28	4	17	21	16	24	18	18	18	17	12	28	15	20	17	23	16	19	19	15	18	21	17	19	18	18	14	24	21	20	19	11	17	20	28	4	19	17	14	17	19	19	13	16	16	27	22	18	23	20	17	27	17	16	13	19
21	19	19	24	20	20	24	22	18	17	18	15	17	18	18	23	17	15	24	15	20	22	18	21	20	18	17	20	15	20	19	18	18	28	17	20	19	20	24	22	21	21	4	27	20	13	20	13	14	31	20	27	17	26	13	19	18	17	18	18	14	20	16	17	15	17	19	14	21	15
20	19	31	20	21	21	12	22	16	14	18	20	21	18	19	18	17	17	21	23	16	18	8	28	15	19	19	22	8	20	20	21	19	18	22	8	12	17	13	20	13	11	20	21	24	20	17	19	17	18	18	15	18	15	16	19	13	20	12	27	13	19	15	17	19	21	31	18	16	17
16	21	15	18	18	20	24	31	24	11	28	21	13	19	13	14	13	18	18	19	21	15	18	26	19	27	21	17	17	14	18	16	21	18	31	16	14	19	19	15	31	28	14	16	22	31	27	22	19	22	18	18	14	27	14	21	19	31	12	19	20	20	18	21	19	18	31	20	19	31
27	19	19	19	14	17	14	18	21	15	27	16	31	14	17	18	20	14	17	16	17	22	17	24	19	22	19	28	14	20	17	20	14	17	17	17	16	31	18	14	20	17	11	8	19	22	19	20	13	24	20	14	20	24	18	31	13	31	24	17	24	15	20	19	13	12	15	28	17	19
20	8	12	13	20	14	19	13	18	15	16	19	27	27	12	16	16	20	21	16	18	19	19	23	11	15	21	27	19	15	19	14	12	21	27	19	17	27	15	31	11	26	8	27	17	20	17	19	17	18	19	19	14	31	31	18	14	15	24	17	27	31	13	27	20	19	14	8	19	20
18	19	18	24	20	14	20	20	19	19	19	22	14	17	17	24	16	17	27	13	17	20	19	19	18	21	4	16	20	14	20	21	24	19	13	17	8	19	26	18	15	20	28	15	21	19	21	20	18	18	19	21	19	19	27	16	28	18	20	13	16	17	8	20	20	15	18	14	11	19
14	12	16	19	19	20	18	20	22	13	20	24	21	18	17	22	11	13	17	28	19	17	19	31	15	21	20	26	18	19	19	18	13	14	12	22	19	19	17	21	21	8	18	14	18	20	18	13	20	20	17	17	19	17	20	19	23	19	15	23	27	19	13	15	18	19	19	17	22	26
19	15	15	21	19	15	19	20	18	17	13	31	22	22	17	23	20	16	19	17	19	31	19	17	19	15	8	15	16	19	27	19	18	15	17	20	13	20	17	19	19	20	19	15	18	27	19	13	18	21	21	21	14	28	15	20	15	19	19	13	17	24	12	23	21	19	18	24	21	13
13	23	19	20	19	19	16	14	16	24	8	19	27	27	22	18	19	26	18	13	31	27	15	18	17	17	20	17	15	18	19	20	31	20	13	18	24	19	17	20	24	20	21	20	16	17	22	19	8	13	18	21	28	19	18	19	17	20	20	19	17	22	31	8	19	27	17	17	27	17
22	13	16	23	18	21	19	17	17	15	19	19	17	21	17	17	17	18	21	18	19	19	17	20	17	23	26	19	20	27	17	17	17	21	16	17	19	14	20	17	14	8	18	20	19	20	17	11	15	17	17	24	16	17	21	17	16	28	28	31	20	20	27	27	11	15	15	15	31	17
27	16	23	17	31	16	18	17	15	27	27	20	17	18	19	17	14	15	26	11	14	16	17	19	31	16	16	16	21	21	19	24	18	17	20	18	20	22	19	24	17	16	19	17	19	19	19	18	16	17	13	20	18	20	19	19	20	17	13	13	19	14	19	15	17	19	18	8	19	15
21	14	19	20	17	24	13	31	4	19	13	31	15	20	19	19	11	21	31	19	31	28	17	27	23	16	23	19	19	15	18	19	27	13	20	14	18	24	19	27	13	19	4	20	15	8	20	18	20	16	14	17	14	17	20	17	27	16	31	18	21	19	15	14	13	19	14	20	31	19
24	15	20	17	31	20	22	17	21	20	13	4	17	21	14	19	18	14	17	17	16	18	19	26	17	13	21	18	31	18	8	4	16	20	17	15	27	15	20	15	17	17	21	16	17	20	31	19	21	18	15	20	16	20	20	20	12	17	19	19	18	16	20	17	13	27	15	20	20	17
21	19	14	14	16	26	16	21	20	15	21	8	11	19	15	16	21	11	17	21	20	31	17	16	24	17	19	20	17	31	12	13	19	26	13	20	14	17	19	12	21	19	21	15	15	19	13	24	17	18	11	4	22	17	15	13	24	19	22	13	16	19	21	18	19	27	15	22	26	23
16	15	20	19	17	20	22	16	16	19	27	27	27	21	19	22	21	21	14	12	19	19	15	19	19	14	19	18	21	20	22	16	19	13	17	19	24	16	13	17	19	21	22	19	20	17	13	17	15	18	20	17	19	15	13	17	12	19	4	18	22	20	26	18	16	23	21	19	31	21
20	20	26	8	23	21	21	17	20	19	19	27	24	27	12	18	18	24	15	17	17	13	18	19	18	20	17	17	15	15	14	20	22	18	22	17	15	17	16	20	20	13	16	16	17	17	14	18	20	17	16	19	17	18	19	27	18	13	19	19	21	15	19	17	28	20	28	31	8	20
