expt	a	b	a_low	a_up	b_low	b_up	avg	avg_se	median	n
101S.091904	0.00070	0.16873	0.00013	0.00377	0.12072	0.23583	29.12	1.50	31.00	26.00
101S.122004	0.00144	0.12479	0.00048	0.00439	0.09633	0.16167	32.43	1.24	33.00	30.00
101S.merged	0.00156	0.12892	0.00069	0.00353	0.10617	0.15655	30.893	0.985	33.000	56.000
BY4743.010305	0.00452	0.07698	0.00182	0.01121	0.05524	0.10727	32.57	1.91	29.50	30.00
BY4743.011705	0.00446	0.07044	0.00186	0.01070	0.05096	0.09736	34.80	2.02	33.00	30.00
BY4743.122004	0.00158	0.11430	0.00044	0.00568	0.08238	0.15859	32.83	1.92	35.00	30.00
BY4743.merged	0.00403	0.07864	0.00238	0.00683	0.06541	0.09455	33.40	1.13	33.00	90.00
M1-2.030905	0.00328	0.11246	0.00104	0.01038	0.07906	0.15999	27.33	1.87	30.00	27.00
M1-2.091904	0.00169	0.13651	0.00043	0.00659	0.09743	0.19126	28.33	1.63	29.00	27.00
M1-2.merged	0.00245	0.12310	0.00103	0.00583	0.09686	0.15645	27.83	1.24	29.50	54.00
M13.030205	0.00106	0.16127	0.00025	0.00441	0.11854	0.21941	27.79	1.44	29.00	29.00
M13.051704	0.00473	0.10455	0.00196	0.01144	0.07709	0.14178	25.66	1.53	25.00	41.00
M13.merged	0.00293	0.12285	0.00139	0.00617	0.09897	0.15249	26.54	1.08	28.00	70.00
M14.030905	0.00067	0.12620	0.00014	0.00316	0.09126	0.17452	36.83	1.92	39.50	30.00
M14.032105	0.00315	0.07522	0.00107	0.00927	0.05182	0.10919	36.27	2.66	38.50	30.00
M14.merged	0.00195	0.09149	0.00084	0.00452	0.07197	0.11630	36.55	1.64	39.00	60.00
M2-8.011705	0.00578	0.09918	0.00286	0.01167	0.07624	0.12903	24.96	1.27	23.50	56.00
M2-8.020105	0.00202	0.15851	0.00081	0.00504	0.12679	0.19815	24.633	0.876	25.000	49.000
M2-8.merged	0.00436	0.11608	0.00256	0.00744	0.09766	0.13798	24.81	0.79	24.00	105.00
M22.030905	0.00222	0.10013	0.00066	0.00749	0.07039	0.14245	32.9	2.2	37.5	30.0
M22.090104	0.00149	0.12936	0.00043	0.00513	0.09629	0.17379	30.80	1.42	31.00	30.00
M22.merged	0.00211	0.10821	0.00091	0.00490	0.08582	0.13644	31.83	1.31	32.50	60.00
M32.020905	0.00123	0.15673	0.00035	0.00436	0.11893	0.20654	28.03	1.05	27.00	30.00
M32.122004	0.00226	0.12801	0.00069	0.00736	0.09366	0.17496	27.90	1.42	26.00	30.00
M32.merged	0.00174	0.14043	0.00074	0.00409	0.11410	0.17285	27.967	0.882	26.500	60.000
M34.010305	0.00160	0.14641	0.00041	0.00624	0.10506	0.20404	27.00	1.59	30.50	30.00
M34.030105	0.00096	0.17088	0.00022	0.00415	0.12578	0.23214	27.04	1.41	28.00	28.00
M34.merged	0.00129	0.15693	0.00047	0.00353	0.12489	0.19719	27.02	1.07	28.50	58.00
M5.041505	0.00206	0.09173	0.00072	0.00591	0.06840	0.12301	36.80	1.83	37.50	30.00
M5.122004	0.00164	0.08490	0.00048	0.00555	0.06054	0.11905	40.43	2.55	47.00	30.00
M5.merged	0.00200	0.08523	0.00090	0.00441	0.06789	0.10700	38.62	1.59	39.50	60.00
M8.030205	0.00027	0.16523	0.00005	0.00140	0.12623	0.21629	35.70	1.11	36.50	30.00
M8.030905	0.00048	0.15280	0.00010	0.00233	0.11382	0.20513	34.17	1.36	33.50	30.00
M8.merged	0.00037	0.15889	0.00012	0.00113	0.13029	0.19376	34.933	0.884	36.000	60.000
RM112N.032105	0.00209	0.08571	0.00068	0.00644	0.06168	0.11911	37.71	2.35	39.00	31.00
RM112N.032405	0.00108	0.08772	0.00029	0.00399	0.06353	0.12112	44.28	2.35	45.00	29.00
RM112N.merged	0.00178	0.08186	0.00078	0.00406	0.06479	0.10343	40.88	1.72	41.00	60.00
YPS128.010305	0.00148	0.11136	0.00043	0.00512	0.08170	0.15178	34.3	1.8	35.5	30.0
YPS128.020105	0.00085	0.12531	0.00024	0.00295	0.09560	0.16425	35.54	1.51	38.00	39.00
YPS128.merged	0.00110	0.11866	0.00046	0.00266	0.09682	0.14543	35.00	1.16	36.00	69.00
YPS163.010305	0.00106	0.13323	0.00027	0.00408	0.09859	0.18005	32.40	1.53	34.00	30.00
YPS163.030105	0.00019	0.17404	0.00003	0.00117	0.13112	0.23101	36.07	1.15	36.00	30.00
YPS163.040805	0.00301	0.09390	0.00121	0.00752	0.07055	0.12497	32.00	1.71	34.00	40.00
YPS163.merged	0.00135	0.11951	0.00068	0.00267	0.10150	0.14071	33.34	0.91	35.00	100.00
