30	30	37	39	20	31	28	27	33	11	37	35	6	17	34	37	33	29	27	8	31	33	30	28	6	6	28	26	37	9	20	21	38	16	45	30	26	20	37	16	37	41	26	25	32	17	30	32	32	33	30	33	29	17
34	32	28	16	33	45	30	18	33	41	29	26	39	21	29	30	18	25	30	41	19	30	28	32	19	31	35	30	16	19	16	26	41	37	25	45	16	29	32	25	38	8	26	25	38	24	35	26	39	28	27	30	37	16
19	31	34	38	34	26	35	33	16	9	18	29	30	41	38	30	24	20	15	30	9	20	30	25	32	37	32	16	26	27	19	32	16	29	26	16	28	37	35	26	33	29	34	38	16	33	29	32	38	38	17	29	9	45
35	23	20	37	16	15	29	33	38	41	8	21	26	38	16	25	37	39	31	33	38	39	30	31	25	25	23	24	30	39	45	15	31	16	41	27	23	19	38	26	28	24	37	39	26	33	33	29	28	15	16	29	21	33
28	6	41	9	39	41	29	31	33	23	25	27	26	8	27	30	41	24	29	9	21	24	24	41	30	41	16	41	17	45	30	45	29	33	37	33	33	29	6	8	37	34	20	27	28	32	37	16	25	16	25	25	34	16
38	39	41	18	23	31	37	20	32	19	30	38	25	16	30	30	39	38	45	28	15	31	20	32	41	26	8	33	26	6	25	21	27	15	16	33	31	30	30	39	30	37	32	29	21	33	34	16	32	16	29	26	31	29
25	38	45	33	33	26	21	30	16	37	11	38	38	16	37	30	39	17	30	15	23	26	37	9	20	20	18	11	28	29	18	32	37	16	9	41	18	32	11	30	33	28	33	31	25	29	26	32	37	30	23	11	45	33
20	37	33	25	9	24	16	41	9	28	30	21	34	26	30	32	8	29	20	21	21	33	26	6	26	23	39	16	45	33	34	9	38	33	21	37	45	18	24	37	39	33	8	33	21	30	32	20	34	30	25	6	9	25
37	28	37	35	38	24	25	30	32	23	39	34	20	17	37	25	30	15	34	16	26	30	38	33	29	19	8	26	35	23	30	24	21	39	33	25	33	26	29	32	26	34	41	28	30	11	41	19	23	15	37	39	19	45
25	39	30	34	34	17	32	37	28	20	39	15	17	39	20	25	23	29	11	34	16	32	18	15	25	41	32	6	37	32	35	32	33	39	32	37	39	28	34	17	25	41	29	15	37	32	30	15	29	6	39	41	39	32
45	16	38	17	35	34	30	29	30	30	33	29	30	15	37	20	38	34	6	20	6	34	25	26	30	41	15	33	39	6	17	17	25	25	17	30	37	45	30	32	25	34	26	18	9	35	8	25	33	32	24	37	38	24
8	41	25	31	30	34	32	31	9	37	25	30	28	19	30	37	29	33	41	39	20	41	17	25	30	26	41	26	15	19	11	29	41	30	38	32	32	41	34	30	38	31	32	41	19	17	19	39	29	24	29	16	6	32
11	20	28	30	27	27	25	29	15	9	29	11	29	27	45	16	21	30	37	23	41	25	8	21	30	28	8	18	30	31	45	41	16	37	28	9	29	20	30	29	30	34	33	9	32	33	19	11	37	32	33	23	25	26
11	25	38	26	38	25	41	19	33	23	32	21	28	28	16	26	26	38	6	33	8	41	31	34	16	26	20	16	37	33	27	9	23	8	41	6	34	37	29	8	30	28	6	33	37	37	37	33	25	29	25	41	30	28
29	9	23	28	16	31	16	41	38	26	32	25	32	26	29	33	25	30	32	25	33	45	28	16	15	27	17	33	16	39	45	35	24	24	25	41	32	29	29	37	19	25	33	31	34	39	20	34	18	33	21	33	20	18
37	37	6	28	38	37	23	34	25	33	28	16	41	30	30	33	18	11	41	34	37	33	26	30	9	24	32	32	35	29	33	25	30	35	37	32	41	33	28	29	16	32	16	39	25	28	24	16	16	29	35	35	20	9
32	8	8	41	18	28	8	33	6	39	11	28	18	38	38	18	35	27	25	28	20	31	25	33	32	30	37	16	33	41	31	25	33	26	38	41	41	28	34	11	35	23	25	30	9	19	34	38	15	16	38	33	37	24
15	20	9	41	26	30	34	38	19	25	16	31	8	28	30	8	31	20	21	33	8	18	27	19	15	9	37	20	27	27	9	25	37	41	29	21	41	29	34	16	26	23	30	25	18	19	20	41	31	27	25	29	41	11
16	23	34	25	35	25	33	29	25	17	17	37	16	28	38	45	6	19	33	31	30	29	19	33	29	30	32	21	20	39	38	32	16	29	33	32	32	28	33	28	26	21	39	25	37	15	19	25	11	33	16	8	11	33
37	35	30	32	16	37	15	33	37	37	29	32	34	41	30	37	8	34	6	11	37	41	26	33	27	41	21	25	37	30	19	8	26	30	37	41	28	19	28	18	32	20	37	41	37	31	34	25	17	34	38	41	41	15
39	24	34	39	39	33	18	16	30	29	32	15	16	41	34	6	38	26	26	26	16	25	6	31	33	20	30	26	19	41	32	30	23	41	33	29	29	23	30	30	30	41	20	23	16	23	16	34	41	33	32	41	32	25
18	30	30	45	6	16	23	33	26	33	29	34	23	28	21	30	37	26	6	39	16	16	33	15	20	29	25	30	15	21	33	34	26	37	31	25	16	39	41	32	16	20	16	32	28	28	15	30	32	37	29	32	33	18
34	34	32	33	31	23	29	6	34	34	26	45	41	45	33	23	28	30	30	34	30	28	26	26	32	41	30	34	30	39	11	26	32	30	27	33	31	37	23	30	29	39	6	32	41	31	11	16	17	26	45	41	16	16
21	33	37	29	32	30	30	19	16	26	39	25	9	25	29	18	39	26	26	41	32	15	41	29	34	26	27	8	16	26	31	41	18	32	34	19	34	20	29	28	41	17	28	34	35	31	41	38	29	33	45	24	41	41
33	21	30	30	34	32	29	16	32	6	30	27	25	18	41	26	11	33	37	18	30	23	15	34	21	25	15	34	9	9	19	11	32	37	30	27	31	24	27	26	41	32	39	16	35	34	27	30	29	26	16	37	17	15
30	38	16	16	15	29	9	37	33	41	25	30	30	30	25	33	15	32	29	18	37	29	26	39	39	37	38	20	31	26	24	31	28	29	25	29	33	35	41	28	37	16	34	35	21	29	16	24	39	19	6	26	9	33
33	30	26	29	33	21	6	31	31	25	30	30	34	37	30	41	17	37	21	34	29	19	31	6	26	27	30	6	28	32	16	38	30	32	23	39	41	28	30	8	31	45	30	24	33	17	21	9	32	31	6	11	34	33
41	16	41	32	20	29	33	33	15	17	30	19	9	21	34	34	38	33	21	29	31	26	30	29	34	29	25	15	19	41	45	6	16	30	25	35	28	24	19	38	31	39	39	28	18	29	30	41	31	34	29	39	28	9
34	23	16	31	33	8	30	23	30	37	38	34	38	17	32	29	34	30	29	18	34	15	33	30	38	39	39	37	25	25	30	37	30	18	24	26	38	39	38	28	25	33	16	19	32	41	32	11	23	20	29	16	30	34
21	20	33	45	32	30	20	20	29	15	32	45	30	39	18	29	23	30	28	35	24	39	18	16	20	18	39	31	29	17	30	37	28	25	37	33	25	15	28	25	30	30	32	20	34	28	26	26	20	32	38	29	25	26
34	30	33	32	28	16	38	35	25	16	30	33	18	31	37	28	21	26	25	32	32	16	32	17	34	33	33	30	26	30	34	34	21	19	16	19	33	39	17	31	30	41	30	35	11	31	39	37	33	41	39	38	33	41
33	38	30	30	32	24	16	37	26	25	15	33	30	41	32	32	26	26	34	41	16	33	31	15	34	29	41	23	38	25	30	41	16	19	38	28	34	31	25	29	37	16	11	32	32	19	29	16	17	29	18	34	19	34
32	17	20	25	25	37	41	29	27	24	17	25	24	29	37	32	39	33	26	8	27	39	37	31	6	9	30	25	34	25	33	41	37	21	39	18	9	37	41	45	18	33	29	25	28	26	16	29	20	30	34	26	31	18
34	23	25	38	32	32	34	26	30	41	30	34	30	33	30	16	35	23	31	25	38	26	26	6	30	31	37	27	29	32	38	32	6	38	24	28	32	39	6	38	30	33	32	17	20	39	45	20	41	34	34	34	16	20
