45	48	29	19	21	26	34	38	25	45	49	78	17	35	14	31	25	32	40	34	35	45	36	19	42	45	18	25	54	33	56	36	25	36	42	17	32	47	31	42	40	42	36	25	17	21	50	31	78	65	26	34	14	25	30	47	35	33	38	36	26	49	45	48	27	16	17	30	17	49	33	26	34	61	42	20	19	51	28	32	56	59	36	13	48	38	19	27	39	53	40	35	48	78	35	47	35	43	42	20	42	26	26	48	32	42	31	18	30	35	50	65	45	35	42	30	28	26	56	24	32	64	48	15	48	24	31	46	27	30	31	31	35	47	23	40	20	34	32	14	31	57	26	17	20	21	26	31	28	18	55	42	25	32	48	27	56	49	63	32	49	61	40	13	42	32
49	61	40	8	42	29	46	14	45	18	30	29	42	31	35	48	34	43	20	40	55	45	33	15	35	26	38	13	32	18	32	31	30	54	63	32	32	31	17	25	20	37	47	38	38	57	34	44	21	35	36	30	28	61	29	26	29	35	17	51	29	14	35	40	40	56	44	34	44	38	22	61	49	44	47	51	31	42	34	36	49	51	47	31	42	36	29	34	27	17	51	31	14	51	32	32	29	51	59	44	26	19	36	50	38	15	42	23	25	28	36	36	25	38	15	47	20	64	39	47	22	20	33	34	20	34	65	23	42	44	42	15	15	46	20	22	26	35	36	26	47	15	19	42	15	42	36	44	51	19	39	43	36	19	34	31	31	31	30	19	54	44	38	39	49	25
49	19	38	32	18	43	36	26	33	15	42	40	47	48	27	49	33	59	48	23	19	20	29	42	24	51	25	32	31	29	36	53	48	29	58	32	51	26	32	23	55	29	26	32	8	42	34	42	17	35	17	30	54	23	47	63	36	33	40	33	37	15	18	42	32	15	33	44	28	36	32	45	39	31	44	29	51	49	24	48	38	49	35	34	44	51	31	31	58	39	31	31	40	31	47	44	40	32	43	42	39	30	16	48	55	32	14	19	53	28	29	40	47	21	63	18	14	63	38	26	31	31	33	18	34	29	31	32	54	52	17	49	47	20	35	25	20	47	26	56	8	49	55	29	60	54	31	36	36	31	33	42	44	38	58	57	35	49	39	36	21	48	33	56	16	29
19	18	14	38	42	48	34	27	45	61	34	42	36	36	50	31	29	25	30	27	48	47	15	34	20	60	42	32	65	21	49	20	40	53	64	23	51	8	43	78	32	42	36	15	31	34	48	36	26	44	39	36	36	59	34	18	42	38	18	20	31	47	52	37	57	31	39	26	26	26	57	31	40	19	40	32	30	30	31	58	49	42	48	46	18	21	21	47	27	33	33	44	35	19	56	29	49	42	53	45	36	32	51	40	30	51	22	35	8	50	42	58	48	40	58	56	49	31	42	40	51	50	36	18	26	35	43	35	53	40	16	39	31	33	39	31	63	42	15	31	50	35	63	45	54	8	23	42	8	20	20	45	28	44	17	47	34	36	15	56	33	42	30	39	36	22
19	15	16	31	59	58	56	49	48	42	22	48	25	36	35	33	31	40	14	36	44	29	60	29	25	47	48	36	27	31	48	34	29	58	38	36	20	40	30	78	15	51	45	42	57	16	53	43	51	42	51	57	30	37	37	31	42	47	35	59	51	20	31	36	17	35	44	25	49	51	50	50	35	29	35	32	60	25	42	51	21	47	60	18	31	20	42	42	35	18	31	21	49	42	15	49	29	26	31	35	35	19	54	29	59	32	40	26	47	25	51	30	65	31	48	27	26	35	14	37	61	36	25	49	45	52	27	8	37	20	25	51	38	29	32	51	42	51	15	36	42	35	17	54	39	26	33	13	37	51	32	51	51	32	56	50	78	45	25	26	42	48	55	39	57	14
17	43	8	54	61	40	48	31	18	21	51	44	21	42	17	78	35	37	8	63	55	47	65	35	14	37	23	46	33	29	32	19	42	46	18	25	32	17	40	51	42	65	36	33	30	60	47	26	34	29	17	40	15	32	26	49	42	19	39	42	29	34	36	31	40	40	19	56	45	42	51	47	27	38	31	46	18	34	35	32	45	42	50	47	19	47	29	32	38	36	26	25	51	14	40	47	44	42	54	35	59	21	22	45	49	31	26	32	44	37	20	36	36	13	29	55	48	34	48	36	45	42	40	63	48	20	31	34	25	43	45	13	36	65	20	56	37	31	16	48	35	32	18	30	36	32	40	59	50	55	20	16	39	35	61	31	26	51	42	13	15	38	33	44	52	20
26	51	36	54	65	48	42	25	51	30	49	45	51	21	43	33	33	26	48	58	52	65	64	42	34	50	36	42	39	60	29	39	42	15	26	50	20	49	34	21	32	31	33	61	26	31	15	63	49	52	45	55	23	45	54	31	31	50	14	18	19	39	61	64	31	52	27	33	43	40	31	40	17	53	33	40	23	38	36	36	61	32	51	33	19	49	23	38	37	31	49	46	32	31	38	29	47	35	20	42	78	61	55	33	33	14	36	54	56	38	47	26	42	38	32	34	33	45	51	34	13	51	56	49	32	45	40	63	25	34	42	29	65	31	15	39	51	65	34	35	36	31	27	61	31	33	60	42	49	44	22	19	50	56	47	61	43	42	23	8	13	35	13	36	63	33
36	32	16	27	47	32	78	34	35	25	17	45	47	33	48	32	26	43	32	25	31	13	44	26	23	22	47	47	44	31	20	42	48	29	20	38	47	30	31	26	55	24	40	65	33	32	28	25	43	36	32	27	47	25	13	43	25	34	45	20	25	19	8	28	43	51	49	36	39	63	29	35	55	20	35	25	40	34	44	22	49	36	31	19	40	27	36	55	31	42	26	38	61	36	50	54	36	39	44	14	43	20	31	34	35	49	19	48	31	20	44	44	37	48	44	37	31	35	48	42	8	16	32	14	55	38	35	32	31	40	40	17	29	34	54	42	38	20	37	35	42	35	40	31	38	43	23	29	64	45	60	35	34	55	31	48	42	65	31	37	39	30	17	42	20	32
35	32	44	38	32	27	30	32	30	52	61	51	33	56	26	36	51	27	38	39	36	49	51	27	51	46	31	40	44	65	27	25	38	38	25	40	48	53	36	51	34	35	48	45	33	24	32	55	14	35	47	47	23	49	55	49	32	34	44	47	35	54	29	17	48	51	26	48	34	31	21	29	49	32	42	36	61	55	31	63	48	33	51	37	29	31	42	61	59	58	50	43	17	60	54	42	31	42	20	42	19	30	57	33	54	25	21	20	31	15	29	55	42	38	32	34	57	35	26	32	17	31	52	13	32	43	34	31	39	51	30	42	35	17	25	35	45	33	51	26	48	35	42	43	38	55	42	31	57	42	47	31	40	51	61	29	39	25	51	40	42	20	32	31	49	34
40	34	78	44	38	31	47	38	15	39	51	29	31	28	29	48	49	52	32	36	22	44	56	36	18	17	19	39	42	32	27	31	35	57	38	20	25	31	31	17	31	55	52	28	36	34	21	54	16	21	40	16	29	36	38	55	58	47	57	26	38	49	45	29	35	36	61	16	17	26	57	49	51	44	29	31	31	35	42	21	28	30	49	43	18	16	31	25	29	45	42	56	42	18	20	44	48	30	27	59	31	26	42	25	43	32	33	26	30	48	65	38	44	35	26	39	34	37	42	31	29	27	17	42	44	31	14	48	31	48	52	65	45	20	50	42	35	56	45	20	19	47	31	57	51	49	48	48	45	17	32	33	37	42	32	38	58	49	57	26	42	39	50	27	36	40
