31	29	3	9	28	16	19	3	20	36	21	23	25	35	30	28	21	21	16	35	31	31	29	28	36	40	38	33	21	42	44	20	38	29	31	33	38	27	35	16	25	9	23	27	29	37	31	21	7	22	14	27	30	27	20	21	15	22
14	8	28	16	33	15	22	36	26	29	16	21	22	16	29	16	22	36	34	8	29	23	3	34	22	14	36	23	27	33	9	26	44	44	36	25	25	27	33	21	21	21	9	36	14	16	31	34	18	23	40	21	12	21	20	4	7	22
33	15	20	19	38	42	22	16	27	23	37	33	22	36	40	31	31	20	12	29	38	31	4	40	27	15	29	36	16	31	21	30	15	15	37	25	15	7	24	15	16	12	34	16	22	40	7	16	24	36	14	36	36	9	33	21	22	42
21	30	16	38	36	12	33	18	16	19	12	14	24	40	25	35	8	30	7	25	34	22	22	25	34	36	31	18	15	23	36	23	15	16	7	15	37	26	31	4	29	19	24	23	26	14	20	4	42	31	23	23	3	16	7	37	4	21
3	22	38	22	9	31	33	36	27	22	15	21	12	42	36	31	14	31	36	15	28	24	38	12	29	15	20	16	8	36	3	33	23	3	35	20	18	28	29	16	28	38	21	42	7	20	9	38	3	21	23	36	20	23	36	16	28	15
19	14	3	28	20	15	34	7	37	28	14	25	16	4	15	7	14	42	38	38	7	16	22	31	25	24	29	22	3	18	26	15	42	21	42	40	16	7	30	21	36	25	21	7	22	28	9	29	38	36	12	31	15	16	21	42	15	25
14	38	15	8	16	28	27	25	30	7	7	37	8	15	28	27	44	23	21	12	24	25	7	22	23	16	40	9	25	44	21	36	15	9	27	42	3	12	7	27	14	7	28	22	3	14	7	22	16	36	37	22	3	36	19	16	36	9
33	22	23	12	16	37	21	19	33	31	25	14	7	16	14	18	40	38	38	35	40	37	40	18	14	12	22	21	29	21	14	26	35	8	36	26	24	15	14	15	34	38	4	25	7	34	38	44	27	8	22	33	22	31	33	21	22	15
21	36	3	4	16	7	38	15	9	27	20	23	18	27	23	29	22	19	15	33	33	22	14	21	42	9	7	20	42	27	3	14	42	4	36	40	23	15	31	31	26	42	36	18	37	15	7	7	14	30	36	20	8	15	16	14	38	27
12	27	40	9	21	36	29	27	28	22	30	33	28	14	9	25	26	14	21	28	15	25	27	14	14	27	44	28	15	44	15	14	23	15	38	27	22	20	15	36	22	7	31	29	28	27	8	15	14	27	33	7	36	33	7	38	27	38
22	14	33	15	25	27	16	27	27	14	7	7	15	38	16	22	8	36	16	18	33	15	36	38	37	8	21	38	16	15	28	25	21	18	25	18	8	24	9	19	34	20	21	25	22	15	40	31	24	21	27	7	44	9	35	22	36	42
